Domain,Indicators,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Assessing Student Learning Needs,"Above and beyond official requirements and recommendations for reopening, does the state provide support, technical assistance or other resources to help districts with planning for the 20-21 SY? (Yes/No)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
Assessing Student Learning Needs,Does the state require or recommend specific practices to support student learning in remote and/or hybrid learning models? (Require/Recommend/No),Recommend,Recommend,Require,Require/Recommend,Require/Recommend,Recommend,Require/Recommend,No,Require/Recommend,Recommend,Require,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Require/Recommend,"Require
Recommend",Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,No,Recommend,No,Require/Recommend,Recommend,Require,Recommend,"Require
Recommend",Recommend,No,Recommend,Require,No,Recommend,Recommend,Recommend,Recommend,Recommend,Require/Recommend
Assessing Student Learning Needs,"Above and beyond official guidance, does the state provide support to help districts implement remote and/or hybrid learning models? (Yes/No)",Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
Assessing Student Learning Needs,Does the state require or recommend specific practices to support learning for students with disabilities in remote and/or hybrid learning models? (Require/Recommend/No),Recommend,Recommend,Recommend,Recommend,Require/Recommend,Recommend,Require,Recommend,Require/Recommend,Recommend,Recommend,Recommend,Require/Recommend,Recommend,Recommend,Recommend,Require/Recommend,Recommend,Recommend,"Require
Recommend",Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,No,Require,Require/Recommend,Require,No,Recommend,No,No,Require,No,"Require
Recommend",Recommend,No,Recommend,Recommend,No,Recommend,Recommend,Recommend,Recommend,Recommend,Require
Assessing Student Learning Needs,Does the state require or recommend specific practices to support learning for English language learners in remote and/or hybrid learning models? (Require/Recommend/No),Recommend,No,Recommend,Recommend,Require/Recommend,Recommend,Require,Recommend,Require/Recommend,No,Recommend,Recommend,Require/Recommend,No,Recommend,Recommend,Require/Recommend,Recommend,Recommend,"Require
Recommend",No,Recommend,Recommend,No,No,Recommend,Recommend,No,Recommend,Recommend,Require,No,Recommend,Recommend,No,Require,No,Recommend,Recommend,No,Require/Recommend,Recommend,No,No,Recommend,Recommend,No,Recommend,Recommend
Assessing Student Learning Needs,Does the state require or recommend that districts implement strategies for accelerating learning and/or addressing learning loss? (Require/Recommend/No),No,No,Recommend,Recommend,Require,Require/Recommend,Recommend,Recommend,No,No,Recommend,Recommend,Recommend,No,No,Recommend,Require,Recommend,Require,No,No,Recommend,No,Recommend,No,Recommend,Recommend,Recommend,Recommend,Require,Require,Recommend,Require,Recommend,No,Recommend,No,Require,Recommend,No,Recommend,Recommend,No,No,Recommend,Recommend,Recommend,Recommend,No
Assessing Student Learning Needs,"Is the state changing instructional minutes/seat time requirements for 20-21 SY? If Yes, please record a description of the change in the Notes field. (Yes/No)",No,No information,No,Yes,Yes,No,Yes,No,No,No information,No information,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No information,No,No,No information,No,Yes,Yes,No,No information,No information,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No information,No information,No Information
Assessing Student Learning Needs,Is the state making new requirements or recommendations around grading for 20-21 SY? (Require/Recommend/No/No Information),Recommend,No information,Recommend,No Information,No,No information,No Information,No Information,No information,No Information,No information,Recommend,Recommend,No,Recommend,Recommend,Recommend,Require,No information,No,No Information,Recommend,No,No information,No information,Recommend,No,No Information,No Information,Recommend,Recommend,Recommend,Require,No Information,No information,Require,No,Recommend,Recommend,No,Recommend,Require,No Information,Recommend,Recommend,Recommend,Recommend,Recommend,No Information
Assessing Student Learning Needs,Is the state making new requirements or recommendations related to the taking of attendance for 20-21 SY?  (Require/Recommend/No/No Information),Recommend,No Information,Require,Require,Require,No,Recommend,No,No information,Recommend,No information,Recommend,Recommend,Recommend,Require,Require,No,Require,Recommend,Require,Recommend,Recommend,Require,Require,No,Recommend,Require,Recommend,Recommend,Recommend,Recommend,Require,Require,Recommend,Recommend,Recommend,No,Recommend,Recommend,Recommend,Require,Require,No Information,Recommend,Recommend,No,No information,Recommend,Recommend
Assessing Student Learning Needs,Is the state making new requirements or recommendations related to graduation standards for 20-21 SY? (Require/Recommend/No/No Information),No Information,No Information,No Information,No Information,No,No information,Recommend,No Information,No information,No Information,No information,No,No Information,Recommend,No Information,No,No,No,Recommend,Require,No Information,No information,No,No information,No information,No,No,No Information,No information,Recommend,No information,No,No information,Require,No,Recommend,No,Recommend,No,No information,No information,No information,No Information,Recommend,Require,No,No information,Recommend,No Information
Assessing Student Learning Needs,Does the state require or recommend districts assess student learning needs this fall via a diagnostic assessment? (Require/Recommend/No),Require,No,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,No,No,Recommend,Require,Recommend,Require,Recommend,Recommend,No,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,Recommend,No,Recommend,Require,Recommend,Recommend,No,No,Require,Require,Recommend,Recommend,Recommend,No,Recommend,Recommend,Recommend,Recommend,No,No
Assessing Student Learning Needs,Does the state prescribe how districts assess learning loss? (Require/Recommend/No),Recommend,No,Recommend,Recommend,No,No,No,Recommend,No,Recommend,Recommend,Recommend,Recommend,No,No,Recommend,Require,Recommend,Require,Recommend,No,No,Recommend,No,No,No,Recommend,Recommend,No,Recommend,No,Recommend,Recommend,No,No,Require,No,Require,Require/Recommend,Recommend,Recommend,No,No,Recommend,Recommend,No,Recommend,No,No
Assessing Student Learning Needs,Does the state support implementation of diagnostic assessments or other assessments designed to assess student learning needs? (Yes/No),Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No ,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Accountability,Does the state articulate a vision for how their support for low-performing schools will shift in 20-21 SY? (Yes/No),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
